ID,Título do Artigo,Autores,Ano de Publicação,País e Instituição,Veículo de Publicação,Backbone CNN (QP1),Backbone ViT / Atenção (QP1),Tipo de Estrutura (QP1),Topologia de Fusão (QP2),Complexidade Física (QP3),Desempenho Temporal (QP3),Hardware de Borda Real (QP3),Eficácia Preditiva e Datasets (QP4),Limitações Declaradas
A11,D-TLDetector: Advancing Traffic Light Detection With a Lightweight Deep Learning Model,Jie Yin et al.,2025,China / Yancheng Institute of Technology,IEEE Transactions on Intelligent Transportation Systems,MobileNetV3 (módulo MBRepConv),Blocos de Atenção Leves,Customizada,Injeção por Atenção,1.0M a 1.3M parâmetros; 0.7G a 1.4G FLOPs,48 FPS,NVIDIA Jetson Nano,98.23% mAP0.5 no YCTL2024,Excesso de parâmetros no modelo proposto pode atrasar a convergência do treinamento.
A12,DBWaterNet: Dual-branch joint refinement for underwater image enhancement,M. Ibrahim et al.,2026,China / Dalian Maritime University,Journal of Visual Communication and Image Representation,CNN Encoder,Swin-Tiny,Customizada,Paralela (módulo JRM),27.82M parâmetros; 6.71G FLOPs,18.3 ms,NVIDIA Jetson AGX Orin,29.625 PSNR no dataset SQUID,Desafios em águas extremamente profundas devido à absorção seletiva de cores.
A13,"Deep Learning Approach for Animal Classification and Detection Leveraging ResNeXt, MaXViT, and K-D Trees for Accurate and Scalable Wildlife Monitoring",Antonie Smith et al.,2025,África do Sul / Tshwane University of Technology,2025 12th International Conference on Software Defined Systems (SDS),Tree-ResNeXt,MaxViT,Padrão,Paralela/Dual-Branch,54.1M parâmetros,23 FPS,NVIDIA Jetson AGX Orin,98.2% acurácia em dataset de 28K imagens de vida selvagem,Custos computacionais proibitivos de modelos ViT puros para dispositivos móveis simples.
A14,DiRecNetV2: A Transformer-Enhanced Network for Aerial Disaster Recognition,Demetris Shianios et al.,2024,Chipre / University of Cyprus,SN Computer Science,DiRecNet Feature Extractor,ViT Encoder Blocks,Customizada,Serial/Cascateada,0.8M parâmetros; 1.09G FLOPs,176.13 FPS,NVIDIA Jetson Orin,0.964 F1-Score no AIDERSv2,Escassez de datasets aéreos robustos para treinamento multirrótulo.
A15,Edge-Optimized Explainable AI for Medical Image Diagnosis using Hybrid CNN–Transformer Architecture,Tapas Behera et al.,2024,Índia / KIIT Deemed to be University,-,EfficientNet-Lite,Vision Transformers,Padrão,Serial/Cascateada,12.1M parâmetros; 1.10B FLOPs,187 ms,NVIDIA Jetson Nano,"91.2% a 96.3% acurácia nos datasets COVID-QU-Ex, COVIDx e LIDC-IDRI",Forte dependência de grandes bases de dados anotadas.
A16,EdgeCT: A CNN-Transformer Hybrid Accelerator for Edge Vision Tasks on FPGA,Xiang Ye et al.,2024,China / Southeast University,-,CTFormer (Frontend de 4 estágios),Bidirectional-attention,Customizada,Serial/Cascateada,-,445 inf./sec,Xilinx ZCU102 FPGA,78.5% Top-1 no ImageNet-1K,Inexistência de eficiência no acesso à memória para certas operações de atenção.
A17,EdgePose: Real-Time Human Pose Estimation Scheme for Industrial Scenes,Lei Zhang et al.,2024,China / Jimei University,IEEE Access,EdgeBlock-C,EdgeBlock-T (EdgeAttention),Customizada,Serial/Cascateada,2.9M a 28.4M parâmetros; 0.33G a 4.4G FLOPs,15.18 ms a 23.24 ms,Jetson Xavier NX,65.1 a 73.9 AP nos datasets MS COCO e MPII,Necessidade de configurações manuais para balanço velocidade-precisão.
A18,Efficient Inference of parallel partitioned hybrid-Vision Transformers,Oscar Artur Bernd Berg et al.,2025,Áustria-Suécia / TU Wien - Mid Sweden University,RAGE '25 (ACM),CoatNet-0,EdgeViT-XXS,Padrão,Paralela (Particionada),-,341 ms a 384 ms,Cluster de Raspberry Pi 4B,58.7% a 60.05% no Tiny ImageNet-200,Acurácia reduzida por particionamento; altas latências de comunicação entre nós.
A19,FaceLiVT: Energy Efficient Face Recognition with Linear Vision Transformer for Limited Resource Device,Novendra Setyawan et al.,2025,Taiwan / National Formosa University,-,EdgeFace (baseado em EdgeNeXt),Linear Vision Transformer,Customizada,Integrada no Bloco,1.77M parâmetros; 153.9M FLOPs,0.67 ms,Dispositivos de Borda (incluindo ANE),Benchmarks LFW e CFP,Complexidade residual das operações Softmax para implantações móveis extremas.
A20,FcaFormer: Forward Cross Attention in Hybrid Vision Transformer,"Haokui Zhang, Wenze Hu, Xiaoyu Wang",2023,"China / Intellifusion, Yan'an University, The Hong Kong University of Science and Technology (Guangzhou)",2023 IEEE/CVF International Conference on Computer Vision (ICCV),ConvNeXt,Swin Transformer,Customizada,Integrada no Bloco (Fca),16.3M parâmetros; 3.6B MACs,728 ms (ARM); 64 ms (GPU),Rockchip RK3288 (ARM),83.1% Top-1 no ImageNet-1K,Estágios mais estreitos para economia de recursos exigem cuidado para não reduzir a expressividade.
A21,GIVTED-Net: GhostNet-Mobile Involution ViT Encoder-Decoder Network for Lightweight Medical Image Segmentation,Resha Dwika Hefni Al-Fahsi et al.,2024,Indonésia / Universitas Gadjah Mada,IEEE Access,GhostNet (Codificador),Mobile Involution ViT (Decodificador),Customizada,Serial/Cascateada,0.19M parâmetros; 0.56G FLOPs,2.47 FPS,Raspberry Pi 4,0.9359 DSC no Kvasir Instrument,Casos de sobre-segmentação de instrumentos e sub-segmentação de lesões.
A22,GunPT: A Privacy-Preserving Mobile Application for Firearm Classification,G. Stavropoulos et al.,2024,Grécia / CERTH,SPIE,MobileNetV2,MobileViT v3 (small v3),Padrão,Integrada no Bloco,~5.8M parâmetros,339 ms (fim-a-ponta),Snapdragon 8+ Gen 1 (Android),Dataset curado de 192 classes (Firearm 14k),Falhas no reconhecimento fine-grained; viés de ordenação no prompt de LLM.
A23,High Speed Safe Autonomous Landing Marker Tracking of Fixed Wing Drone Based on Deep Learning,"Baoxi Yuan, Wenyun Ma, Feng Wang",2022,China / Xijing University,IEEE Access,Extrator de características convolucional (RPN / Region-wise),MobileViT,Padrão,Integrada no Bloco,~6.0M parâmetros,51 FPS,NVIDIA Jetson AGX Xavier,78.4% Top-1 no ImageNet-1K,Contradição entre acurácia de rastreamento e processamento em tempo real.
A24,LCVPG-Net-Based Ground Fissure Segmentation in UAV Imagery of Mining Areas,"Chen Yanwei, He Dongcai, Zhang Haoran, Shi Miao, Du Sunwen",2025,China / Taiyuan University of Technology,IEEE Geoscience and Remote Sensing Letters,Módulo de convolução complexa baseado na Transformada de Hilbert,MHA otimizada com conv. agrupadas,Customizada,Integrada no Bloco,8.3M parâmetros,24.3 FPS,NVIDIA Jetson Nano,90.8% mAccuracy em imagens de drones,Modelos padrão ViT possuem parâmetros massivos inviáveis para drones simples.
A25,LFormer: A Lightweight CNN-Transformer Hybrid Network for Efficient Vision Tasks,Junzhou Li et al.,2025,China / University of Science and Technology of China,ICFTIC,Módulo ExtraDW,Single-Head Modular Attention (SHMA),Customizada,Integrada no Bloco,6M a 30M parâmetros,2.27 ms a 3.23 ms,Apple iPhone 16 Pro,78.3% a 83.2% Top-1 no ImageNet-1K,Desempenho depende estritamente do orçamento de parâmetros do hardware.
A26,MixMobileNet: A Mixed Mobile Network for Edge Vision Applications,Yanju Meng et al.,2024,China / Zhejiang Sci-Tech University,Electronics,LFAE (baseado em PConv),GFAE (atenção entre canais),Customizada,Integrada no Bloco (MixMobile Block),1.5M a 7.3M parâmetros; 0.2G a 1.2G FLOPs,3.99 ms a 9.00 ms,NVIDIA Jetson AGX,70.6% a 78.8% Top-1 no ImageNet-1K,Ausência de busca neural (NAS) ou pré-treino em ImageNet-21K.
A27,SBCFormer: Lightweight Network Capable of Full-size ImageNet Classification at 1 FPS on Single Board Computers,"Xiangyong Lu, Masanori Suganuma, Takayuki Okatani",2024,"Japão / Tohoku University, RIKEN Center for AIP",WACV,Blocos Residuais Invertidos (InvRes),MAttn (Attention),Customizada,Integrada no Bloco,5.6M a 18.5M parâmetros; 0.7G a 2.7G MACs,1.0 FPS na borda,Raspberry Pi 4 (ARM),~80% Top-1 no ImageNet-1K,Latência específica para ARM Cortex-A72; reprodutibilidade depende do compilador.
A28,SCTNet: A Shallow CNN-Transformer Network With Statistics-Driven Modules for Cloud Detection,"Weixing Liu, Bin Luo, Jun Liu, Han Nie, Xin Su",2025,China / Wuhan University,IEEE Geoscience and Remote Sensing Letters,Shallow CNN com módulo Statistics-Adaptive Convolution (SAC),Shallow Transformer (MiT-B0),Customizada,Integrada no Bloco,0.715M parâmetros; 1.033G MACs,27.1 FPS,NVIDIA Jetson TX2,66.03% mIoU nos datasets WHU,Transformer deve permanecer raso para viabilizar tempo real em satélites.
A29,SHViT: Single-Head Vision Transformer with Memory Efficient Macro Design,Seokju Yun et al.,2024,Coreia do Sul / NRF,CVPR,DWConv,Single-Head Attention (SHSA),Customizada,Serial/Cascateada,6.3M a 16.5M parâmetros; 241M a 986M FLOPs,1.6 ms,Apple iPhone 12,72.8% a 80.2% Top-1 no ImageNet-1K,Identificação de redundância massiva em modelos Multi-Head tradicionais.
A30,SwinURNet: Hybrid Transformer-CNN Architecture for Real-Time Unstructured Road Segmentation,"Zhangyu Wang, Zhihao Liao, Bin Zhou, Guizhen Yu, Wenwen Luo",2024,China / Beihang University,IEEE Transactions on Instrumentation and Measurement,ResNet34,Swin Transformer,Padrão,Paralela/Dual-Branch,-,25 Hz,NVIDIA AGX Xavier,61.6% mIoU no SemanticKITTI,Reflexão especular no solo causa perda de dados LiDAR; computação redundante.
A31,TCFNet: Transformer and CNN Fusion Model for LiDAR Point Cloud Semantic Segmentation,"Lu Ren, Jianwei Niu, Zhenchao Ouyang, Zhibin Zhang, Siyi Zheng",2022,"China / Beihang University, Nanhu Laboratory","2022 IEEE Smartworld, Ubiquitous Intelligence & Computing, Scalable Computing & Communications, Digital Twin, Privacy Computing, Metaverse, Autonomous & Trusted Vehicles (SmartWorld/UIC/ScalCom/DigitalTwin/PriComp/Metaverse)",Módulos FuseDown / FuseUp,Transformer Blocks,Customizada,Paralela/Dual-Branch,-,122 ms (Jetson),NVIDIA Jetson AGX,67.5% mIoU no SemanticKITTI,Dificuldade em fundir global context com a esparsidade de nuvens de pontos.
A32,TemporalFormer: Enhanced EfficientFormer for Real-Time Deepfake Detection on Edge Devices,"Aarif Zafar, Kartik Singh, Udit Manav, Rajesh Kumar Panda, Nikhil Sahni, Renju Chirakarotu Nair",2025,Índia / Samsung R&D Institute India - Bangalore,"2025 IEEE International Conference on Electronics, Computing and Communication Technologies (CONECCT)",stem e FFN convolucional,EfficientFormer V2-S1,Customizada,Integrada no Bloco,6.1M parâmetros,~15 ms por quadro,Snapdragon 888 CPU (Android),93.2% acurácia no dataset Celeb-df(v2),Janelas fixas de clips (6s) impõem restrições à continuidade temporal total.
